C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_35_662.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_35_662.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_35_662.jpg, 0, 0, 0, 7.82458E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_35_764.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_35_764.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_35_764.jpg, 0, 0, 0, 7.87279E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_35_866.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_35_866.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_35_866.jpg, 0, 0, 0, 7.850237E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_35_969.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_35_969.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_35_969.jpg, 0, 0, 0, 7.861583E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_36_072.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_36_072.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_36_072.jpg, 0, 0, 0, 7.816523E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_36_172.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_36_172.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_36_172.jpg, 0, 0, 0, 8.220908E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_36_274.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_36_274.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_36_274.jpg, 0, 0, 0, 7.9315E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_36_375.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_36_375.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_36_375.jpg, 0, 0, 0, 7.797809E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_36_480.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_36_480.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_36_480.jpg, 0, 0, 0, 7.903401E-05
C:\Users\zaiph\Desktop\Data\IMG\center_2020_12_07_22_27_36_579.jpg, C:\Users\zaiph\Desktop\Data\IMG\left_2020_12_07_22_27_36_579.jpg, C:\Users\zaiph\Desktop\Data\IMG\right_2020_12_07_22_27_36_579.jpg, 0, 0, 0, 7.854733E-05
